pnID1,siID1,mnID1,nam1,etime1,status,DQ11t1,DQ12t1,DQ1A,DQ2,DQ31,DQ32,DQ33,DQ34,DQ3A1n1,DQ4A1,DQ4A2,DQ4A3,DQ4B,DQ51n1,DQ6,DQ70c1,DQ70c2,DQ70c3,DQ7A,DQ8,DQ91t1,DQ92n1,DQ10,DQ10n1,DQ11A,DQ11An1,DQ11An2,DQ12,DQ13,DQ141n1,DQ142n1,DQ142n2,DQ143n1,DQ143n2,DQ143n3,DQ144n1,DQ144n2,DQ144n3,DQ151t1,DQ152n1,DQ152n2,DQ152n3,DQ153n1,DQ153n2,DQ153n3,Q01,Q0211,Q0212,Q0221,Q0222,Q0231,Q0232,Q0311,Q0312,Q0313,Q0314,Q0321,Q0322,Q0323,Q0324,Q0319,Q0329,Q041,Q042,Q043,Q04t8,Q0511,Q0512,Q0513,Q0521,Q0522,Q0523,Q0519,Q06,Q071,Q072,Q073,Q074,Q0811,Q0812,Q0813,Q0821,Q0822,Q0823,Q08A1,Q08A2,Q08A3,Q08A4,Q08At4,Q0911,Q0912,Q0913,Q0914,Q09t4,Q0915,Q101n1,Q1111,Q1112,Q1113,Q1119,Q12,Q1311,Q1312,Q141,Q142,Q143,Q14t11,Q15,Q15A,Q15B1,Q15B2,Q15B3,Q15B4,Q15B5,Q15Bt5,Q161,Q162,Q16t9,Q17,Q18,Q18A,Q18At5,Q18B,Q18Bt6,Q19,Q19t5,Q20A1,Q20A2,Q20A3,Q20A4,Q20A5,Q20At5,Q20AA,Q20AAt3
,000333,999999,서형주,2022-09-08 오전 11:20:00,201,,유송세라믹,1336,2,,서울 중구 충무로9길 33,,,1,1,,,1,,1,3,335,CS300035,3,2,을지로3가,200,2,,2,,1,,1,,2009,7,8,18,4,,,,,2,2271,2891,,,,3,,,,,,,2000,2000,2000,2000,200,200,200,200,,,4,1,3,,,,,25,25,,,,2,2,2,1,,2000,,,,,1,,,,,100,0,0,0,,,2,2000,2000,,,,,0.1,3,1,4,,,,,,,,,,3,8,,,,,,,,,,,,,,,,,
,000347,999999,서형주,2022-09-08 오전 11:20:00,201,,준참치,761,2,,서울 용산구 두텁바위로 79-1,,,2,1,,,1,,1,1,103,CS100003,1,1,숙대입구역,776,1,1,1,2,,,1,48,2010,1,11,22,1,,,,이준화,2,773,3838,,,,3,,33,,,,,2000,2000,2000,2000,135,135,135,135,,,,,,,,,,,,,,,1,2,2,1,,1000,1500,,,,1,,,,,0,100,0,0,,,1,,,,,,,,1,7,3,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,
,000368,999999,서형주,2022-09-08 오전 11:20:00,201,,예성금속,1327,1,,서울 강남구 논현로128길 23,,,3,1,,,1,,1,3,333,CS300033,3,2,학동역,242,1,,1,2,,,1,58,2011,4,8,18,4,2,,,김병주,2,547,1131,,,,3,,,,,,,1500,1500,1500,1500,400,400,400,400,,,,,,,,,,,,,,,1,1,1,1,,2000,1000,,,,1,2,,,,100,0,0,0,,,2,800,800,,,,,0.3,8,4,9,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000380,999999,서형주,2022-09-08 오전 11:20:00,201,,슈야,1067,2,,서울 송파구 백제고분로 45길 23,,,,1,,,1,,1,1,105,CS100005,1,2,,,,,,,,,1,,2018,7,12,21,4,,1,,유준원,,,,10,4591,4082,3,,,,,,,1000,1000,1000,1000,100,100,100,100,,,,,,,2,2,,,,,,,1,2,2,2,,2500,,,,,,,,,,,,,,,,,2000,2000,2400,Y,배달경쟁강화,,,9,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000385,999999,서형주,2022-09-08 오전 11:20:00,201,,삼화 유리철물,1279,1,,서울 강서구 까치산로 179,,,3,1,,,1,,1,3,333,CS300033,3,2,가양역,1040,2,,1,2,,,2,55,1993,7,9,10,,,,,정을생,,,,10,3181,3144,3,,,,,,,1400,1400,,,60,60,,,,,,,,,,,,20,20,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,200,,4,9,8,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,
,000219,999999,서형주,2022-09-08 오전 11:20:00,201,,시티공인중개사,1126,2,,서울 양천구 오목로 333,,406-22,,1,,,1,,1,2,233,CS200033,2,2,오목교역,61,1,14,1,6,,,1,67,2001,7,9,7,8,1,1,,황광선,,,,10,3044,5265,3,,,,,,,2000,2000,,,220,220,,,,,,,,,,,,10,10,,,,2,2,2,2,,,4500,,,,1,,,,,100,0,0,0,,,,,,,,,500,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000259,999999,서형주,2022-09-08 오전 11:20:00,201,,네모5징어포스코사거리점,1202,2,,서울 강남구 테헤란로 77길 17,,,10,1,,,1,1,1,1,101,CS100001,1,1,선릉역,598,2,,1,2,,,2,,2020,1,10,22,4,1,,,,2,558,4525,,,,2,,,,,,,6000,6000,,,600,600,,,,,,,,,,,,,,,,,1,2,2,1,,,,,,,1,,,,,100,0,0,0,,,,4000,4000,,,,,0.1,8,6,2,,,,,,,,,,5,8,,,,,,,,,,,,,,,,,
,000264,999999,서형주,2022-09-08 오전 11:20:00,201,,둘둘치킨선릉공원점,1202,2,,서울 강남구 테헤란로 69길 9,,,8,1,,,1,1,1,1,107,CS100007,1,2,선릉역,340,2,,1,2,,,2,,2010,7,15,22,9,1,0,0,오복규,2,501,2882,,,,2,,,,,,,10000,10000,,,550,550,,,,,,,,,,,,120,120,,,,1,1,1,1,,,,,,,,,,,,100,0,0,0,,,,900,900,,,,,0.2,2,7,8,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000271,999999,서형주,2022-09-08 오전 11:20:00,201,,소문난순대국밥,843,2,,서울 노원구 석계로 7길 7,,,3,1,,,1,1,1,1,101,CS100001,1,2,석계역,270,2,,2,,1,,2,,2016,7,10,21,4,,,2,김정회,2,918,2206,,,,3,,,,,,,1500,1500,,,80,80,,,,,,,,,,,,30,30,,,,1,2,2,1,,2000,,,,,1,,,,,,,,,,,5,3500,3500,3500,N,,,0.2,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,
,000280,999999,서형주,2022-09-08 오전 11:20:00,201,,귀금속 안경콘택트,1237,2,,서울 동대문구 왕산로 7-1,,,1,1,,,1,,1,3,316,CS300016,3,2,신설동역,124,1,3,1,2,,,1,70,1978,7,9,21,4,1,,,김효진,2,928,4142,,,,3,42.9,,,,,,1000,1000,,,90,90,,,,,,,,,,,,,,,,,1,1,1,1,,500,,,,,,,,,,60,40,0,0,,,2,700,700,,,,,0.05,2,1,9,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000306,999999,서형주,2022-09-08 오전 11:20:00,201,,아라도,1288,1,,서울 강남구 논현로 175길 25,,다보빌딩,1,1,,,1,104,1,1,109,CS100009,1,2,압구정역,,,,,,,,1,48,1999,7,17,10,8,3,,,이용진,,,,10,9194,9709,3,,,,,,,10000,10000,,,600,600,,,,,,,,,76,76,,,,,,,1,1,1,1,,23000,2000,,,,1,2,,,,,,,,,,,3000,3000,3600,Y,코로나,600,,8,5,6,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,
,000318,999999,서형주,2022-09-08 오전 11:20:00,201,,양파이,1163,2,,서울 용산구 독서담로 65-11,,,4,1,,,1,,1,1,102,CS100002,1,1,한남역,655,2,,1,1,,,1,47,2021,6,2,10,,3,,,유호민,,,,10,2282,9319,1,,,,,,,8000,8000,,,370,370,,,,,,,,,,,,,,,,,1,2,2,2,,,8000,,,,,,,,,100,0,0,0,,,5,,,,,,,,1,6,7,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000335,999999,서형주,2022-09-08 오전 11:20:00,201,,구름베이프,1259,2,,서울 성동구 왕십리로 21길 12,,,4,1,,,1,,1,3,344,CS300044,3,2,왕십리역,150,1,5,1,2,,,1,54,2019,5,9,21,,,,,,,,,10,3839,8889,3,16.5,23.1,,,,,1000,1000,1000,1000,100,100,100,100,,,,,,,15,15,15,15,15,15,,,1,2,2,1,,500,,,,,1,,,,,,,,,,,,1000,1000,1000,N,코로나,160,,6,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,000372,999999,서형주,2022-09-08 오전 11:20:00,201,,깡철이,1092,2,,서울 서초구 서초중앙로 49,,,15,1,,,1,1,2,1,110,CS100010,1,2,남부터미널역,251,1,,1,4,,,1,30,2021,6,8,12,,,,,김우석,70,8807,6999,,,,3,,,,,,,3000,3000,,,200,200,,,,,,,,,10,10,,,,,,,1,2,2,1,,1000,2000,,,,1,2,,,,100,0,0,0,,,2,,,,,,,0.1,8,4,9,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000382,999999,서형주,2022-09-08 오전 11:20:00,201,,또올래곱창,1067,2,,서울 송파구 백제고분로 45길 36,,,3,1,,,1,,1,1,101,CS100001,1,2,,,,,1,2,,,2,,2020,7,12,24,,,3,,정여아,,,,10,7433,807,3,,,,,,,5000,5000,,,350,350,,,,,,,,,10,10,,,,,,,1,2,1,1,,10000,,,,,1,,3,,,,,,,,,,,,,,,,,9,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000226,999999,서형주,2022-09-08 오전 11:20:00,201,,경희플라워,1324,2,,서울 강북구 월계로 29,,,1,1,,,1,,1,3,328,CS300028,3,1,미사역,351,1,1,2,,2,,2,63,2004,7,10,21,4,1,,,박경희,2,945,3134,,,,3,,,,,,,1200,1200,,,82,82,,,,,,,,,,,,,,,,,1,2,2,1,,1500,,,,,,,,,,71,29,0,0,,,1,50,50,,,,,0.2,1,3,8,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,
,000231,999999,서형주,2022-09-08 오전 11:20:00,201,,쌍둥이포차,1324,2,,서울 강북구 숭인로 67,,,1,1,,,1,,1,1,109,CS100009,1,1,미사역,78,2,,1,1,,,2,60,2011,7,10,21,,1,,,곽순희,,,,10,8595,9729,3,,,,,,,1100,1100,,,66,66,,,,,8,,,,,,,,,,,,1,1,1,1,,1000,,,,,,,,,,100,0,0,0,,,2,,,,,,,0.15,9,8,5,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,
,000245,999999,서형주,2022-09-08 오전 11:20:00,201,,기계우동,1236,2,,서울 동작구 여의대방로 24길 140,,,1,1,,,1,,1,1,108,CS100008,1,1,신대방삼거리역,133,1,,1,6,,,2,58,1994,2,11,21,4,2,,,윤근례,2,821,9397,,,,3,,,,,,,2000,2000,,,170,170,170,170,,,,,,,,,,10,10,,,,1,1,1,1,,5000,5000,,,,1,2,,,,100,0,0,0,,,2,300,300,,,,,0.2,8,4,1,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000253,999999,서형주,2022-09-08 오전 11:20:00,201,,노블공인중개사사무소,1202,2,,서울 강남구 테헤란로52길 16,,테헤란아이파크상가,1,1,,,1,,1,2,233,CS200033,2,2,선릉역,742,2,,2,,1,,1,36,2020,1,10,18,4,2,,,김기성,2,561,2221,,,,3,,,,,,,5000,5000,5000,,280,280,280,,,,,,,,1,1,1,,,,,,2,2,2,2,,,,,,,,,,,,100,0,0,0,,,2,1500,1500,,,,,0.2,8,1,2,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,
,000256,999999,서형주,2022-09-08 오전 11:20:00,201,,신도세기,1202,1,,서울 강남구 테헤란로 52길 15,,금천빌딩,10,1,,,1,,1,1,101,CS100001,1,1,선릉역,254,2,,2,,2,,1,62,2016,12,11,21,0,13,,,박근우,2,501,6888,,,,3,,,,,,,1650,1650,1650,1650,480,480,480,480,,,,,,,,,,,,,,,1,1,1,1,,,1000,,,,,,,,,,,,,,,2,8000,8000,8000,N,,,0.2,8,4,2,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000297,999999,서형주,2022-09-08 오전 11:20:00,201,,라무진,273,1,,서울 성동구 성수이로 14길 1,,,4,1,,,1,,1,1,102,CS100002,1,2,성수역,393,2,,1,1,,,1,34,2018,7,17,1,4,2,4,,류태규,,,,10,3755,9451,2,,,,,,,3000,3000,3000,3000,300,300,300,300,,,,,,,20,20,20,,,,,,2,2,2,2,,,16000,,,,,,,,,100,0,0,0,,,2,2500,2500,2500,N,,,0.3,8,1,3,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000369,999999,서형주,2022-09-08 오전 11:20:00,201,,영동곱창,1327,1,,서울 강남구 학동로34길 17,,,6,1,,,1,,1,1,101,CS100001,1,2,학동역,273,2,,2,,2,,2,59,2018,3,11,22,2,2,,,정영순,,,,10,3022,5783,3,,,,,,,3000,3000,3000,3000,340,340,340,340,,,,,,,10,10,,,,,,,1,1,1,1,,2000,1800,,,,1,2,,,,100,0,0,0,,,2,3000,3000,,,,,0.3,4,8,9,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000377,999999,서형주,2022-09-08 오전 11:20:00,201,,펫츠앤미,1067,1,,서울 송파구 오금로 18길 5,,,,1,,,1,,1,3,329,CS300029,3,1,,,,,1,2,,,2,,2020,12,11,17,,,,,이다솜,,,,10,8714,3842,3,,,,,,,1000,1000,1000,,95,95,95,,,,,,,,,,,,,,,,1,2,2,1,,3500,,,,,1,,,,,,,,,,,2,300,300,,,,,,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000395,999999,서형주,2022-09-08 오전 11:20:00,201,,유진슈퍼,1279,2,,서울 강서고 화곡로 58길 62,,,3,1,,,1,,1,3,301,CS300001,3,2,가양역,1100,2,,1,2,,,1,70,1983,7,6,1,,,,,김기영,,,,10,9298,4491,3,,,,,,,3000,3000,3000,,120,120,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,55,,1,8,9,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,000396,999999,서형주,2022-09-08 오전 11:20:00,201,,남촌사,1279,2,,서울 강서구 화곡로 316,,1117-13 삼보빌딩,,1,,,1,,1,2,252,CS200052,2,1,가양역,1000,1,13,1,6,,,1,56,1980,7,8,7,4,,,,박병옥,,,,10,7143,2605,3,,,,,,,30000,30000,,,,,,,,,,,,,2,2,,5,5,,,,2,2,2,2,,,3000,,,,,,,,,100,0,0,0,,,,,,,,,150,,1,8,11,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000221,999999,서형주,2022-09-08 오전 11:20:00,201,,오공주순대국집,1324,2,,서울 강북구 도봉로 45,,,1,1,,,1,,1,1,101,CS100001,1,2,미사역,255,2,2,2,,1,,2,51,2003,7,9,,2,2,,,박영순,2,985,1804,,,,3,,,,,,,1250,1250,,,140,140,,,,,8,,,,,,,60,60,,,,1,2,1,1,,3000,,,,,,,,,,100,0,0,0,,,2,150,150,,,,,,9,8,,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,
,000240,999999,서형주,2022-09-08 오전 11:20:00,201,,안암동닭한마리칼국수,1151,2,,서울 성북구 안암로 71,,,4,1,,,1,,1,1,101,CS100001,1,1,안암역,415,2,,2,,1,,,,2013,7,10,22,0,,,,이옥훈,2,6405,2434,,,,3,,109,,,,,7000,7000,,,150,150,,,,,,,,,,,,50,50,,,,1,1,1,1,,20000,8000,,,,1,,,,,0,100,0,0,,,5,750,750,,,,,0.2,3,4,1,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,
,000277,999999,서형주,2022-09-08 오전 11:20:00,201,,"사철탕, 삼계탕산자락",1237,1,,서울 동대문구 왕산로 2갈 34,,,1,1,,,1,,1,1,101,CS100001,1,2,신설동역,548,2,,1,2,,,2,60,2002,7,11,22,4,1,,,최옥희,2,927,2859,,,,3,72.7,,,,,,2000,2000,1500,,210,210,200,,,,,,,,,,,,,,,,1,2,1,1,,5000,160,,,,,,,,,100,0,0,0,,,1,500,500,,,,900,0.15,5,8,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000298,999999,서형주,2022-09-08 오전 11:20:00,201,,맘스터치,273,2,,서울 성동구 성수이로 20길 3,,,11,1,,,1,,3,1,106,CS100006,1,1,성수역,101,1,1,1,2,,,1,56,2021,1,10,22,,2,14,,황성현,,,,10,3765,153,2,,,,,,,5000,5000,,,1000,1000,,,,,,,,,,,,150,150,,,,1,2,2,2,,,20000,,,,,,,,,50,50,0,0,,,2,8000,8000,,,,,,6,7,8,,,,,,,,,,5,8,,,,,,,,,,,,,,,,,
,000300,999999,서형주,2022-09-08 오전 11:20:00,201,,김밥까페,1288,1,,서울 강남구 압구정로 164,,,,1,,,1,,1,1,108,CS100008,1,1,압구정역,,,,,,,,2,61,2013,7,9,9,1,2,,,김현주,,,,10,3372,3928,2,,,,,,,15000,15000,,,500,500,,,,,1,5,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,,,,,,,,,,5,8,,,,,,,,,,,,,,,,,
,000301,999999,서형주,2022-09-08 오전 11:20:00,201,,카페 판다,1288,2,,서울 강남구 논현로 175길 40,,,4,1,,,1,102,1,1,110,CS100010,1,2,압구정역,,,,,,,,1,55,2020,11,8,22,,,3,,서홍열,,,,10,6337,849,1,,,,,,,5000,5000,,,350,350,,,,,,,,,,,,35,35,,,,2,2,2,2,,,,,,,,,,,,56,0,0,44,,,2,1300,1300,,,,,0.2,1,6,8,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000352,999999,서형주,2022-09-08 오전 11:20:00,201,,아담스타코,761,2,,서울 용산구 신흥로 44,,,3,1,,,1,,1,1,104,CS100004,1,2,녹사평역,747,1,1,1,1,,,2,32,2019,7,17,2,0,2,,,이방실,,,,10,4385,6559,3,28,,,,,,2000,2000,2000,2000,132,132,132,132,,,,,,,,,,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,2,2000,2000,2000,N,코로나,,,7,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000356,999999,서형주,2022-09-08 오전 11:20:00,201,,오브위,761,2,,서울 용산구 소월로 20길 30,,,4,1,,,1,,1,3,311,CS300011,3,2,,,2,,,,,,2,,2020,12,12,20,6,,,,양나래,,,,10,3153,9595,3,33,33,,,,,2000,2000,,,100,100,,,,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,,,,,2,,,,,,,,8,9,1,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,
,000371,999999,서형주,2022-09-08 오전 11:20:00,201,,깐부치킨,1092,1,,서울 서초구 서초중앙로 42,,블루핀타워,4,1,,,1,,1,1,107,CS100007,1,1,남부터미널역,129,2,,1,4,,,2,44,2011,5,9,15,2,2,,,차완숙,2,3487,2755,,,,2,,,,,,,3000,3000,3000,3000,200,200,200,300,,,,,,,,,,,,,,,1,1,1,1,,2000,1000,,,,1,2,,,,100,0,0,0,,,2,400,400,400,N,코로나,,0.3,8,4,9,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000389,999999,서형주,2022-09-08 오전 11:20:00,201,,담백,1279,1,,서울 강서구 화곡로 342,,포유빌딩,2,1,,,1,102,3,1,108,CS100008,1,2,가양역,820,1,13,1,6,,,1,32,2021,1,9,9,,,,,김진환,,,,10,5524,907,3,,,,,,,2000,2000,,,176,176,,,,,,,,,25,25,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,2,2000,2000,,,,,,,,,,,,,,,,,,6,8,,,,,,,,,,,,,,,,,
,000299,999999,서형주,2022-09-08 오전 11:20:00,201,,프린트샵,1288,2,,서울 강남구 압구정로 18길 25,,,1,1,,,1,,1,2,252,CS200052,2,2,압구정역,,,,,,,,2,30,2001,7,7,10,1,13,,,정성희,2,518,2320,,,,3,,,,,,,20000,20000,,,1520,1520,,,,,,,,,,,,220,220,,,,1,2,2,2,,,20000,,,,,,,,,,,,,,,,5000,5000,193000,Y,거래처 축소,,0.4,8,7,4,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,
,000315,999999,서형주,2022-09-08 오전 11:20:00,201,,김종용누룽지통닭,1163,2,,서울 용산구 대사관로 34길 12,,,2,1,,,1,,1,1,107,CS100007,1,2,한남역,516,2,,1,2,,,2,46,2016,6,16,1,,3,,,강나영,2,794,9212,,,,2,,,,,,,10000,10000,10000,10000,440,440,440,440,,,,,,,,,,,,,,,1,2,1,1,,10000,10000,,,,,,3,,,33,0,67,0,,,5,4500,4500,60000,Y,코로나,,0.1,1,3,6,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000321,999999,서형주,2022-09-08 오전 11:20:00,201,,제일아크릴,1336,2,,서울 중구 충무로 47,,,2,1,,,1,,1,3,333,CS300033,3,2,을지로3가,147,1,,2,,2,,1,42,2004,10,0,8,,,,,진명경,2,2263,516,,,,3,,,,,,,3000,3000,3000,3000,330,330,330,330,,,2,1,3,,,,,,,,,,2,2,2,2,,,1000,,,,,,,,,0,100,0,0,,,,2000,2000,2000,N,코로나,,0.1,1,2,3,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,
,000359,999999,서형주,2022-09-08 오전 11:20:00,201,,Pbnj,761,2,,서울 용산구 소월로 20길 22,,,3,1,,,1,,1,1,104,CS100004,1,2,,,2,,1,1,,,2,30,2021,2,12,21,1,,,,정나랑,,,,10,7794,365,3,47,,,,,,1500,1500,,,110,110,,,,,,,,,,,,,,,,,1,1,2,1,,2300,5000,,,,1,,,,,0,60,40,0,,,3,,,,,,,,1,4,8,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000362,999999,서형주,2022-09-08 오전 11:20:00,201,,RN,761,2,,서울 용산구 신흥로 97-6,,,3,1,,,1,,1,1,110,CS100010,1,1,,,2,,1,1,,,2,55,2021,7,11,22,,,,,천슬하,,,,10,3013,5024,3,,30,,,,,1500,1500,,,75,75,,,,,,,,,,,,,,,,,1,1,1,1,,1300,,,,,1,,3,,,,,,,,,2,,,,,,,,1,7,9,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000374,999999,서형주,2022-09-08 오전 11:20:00,201,,신사장,1092,2,,서울 서초구 반포대로 14길 71,,,20,1,,,1,1,2,1,110,CS100010,1,2,남부터미널역,367,1,,2,,2,,2,40,2021,6,9,20,2,2,,,신유정,2,584,7333,,,,3,,,,,,,5000,5000,,,330,330,,,,,,,,,26,26,26,,,,,,2,2,2,2,,,3000,,,,,,,,,100,0,0,0,,,2,100,100,,,,,,8,4,9,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000383,999999,서형주,2022-09-08 오전 11:20:00,201,,구스다래인젤라또,1067,1,,서울 송파구 송파대로 48길 37,,,4,1,,,1,,1,1,110,CS100010,1,2,,,,,1,2,,,2,,2021,4,12,22,4,,3,,김민아,,,,10,2580,6900,3,,,,,,,3000,3000,,,160,160,,,,,8,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000392,999999,서형주,2022-09-08 오전 11:20:00,201,,명플라워,1279,1,,서울 강서구 화곡로 346,,,3,1,,,1,,3,3,328,CS300028,3,2,가양역,1000,1,13,1,6,,,1,62,1987,7,9,8,,,,,박재옥,,,,10,3253,8369,3,,,,,,,3000,3000,,,180,180,,,,,,,,,10,10,,,,,,,2,2,2,2,,,2000,,,,,,,,,,,,,,,2,600,600,,,,800,,4,8,7,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,
,000397,999999,서형주,2022-09-08 오전 11:20:00,201,,부동산가이드공인중개사,1242,2,,서울 강서구 강서로153,,1077-4,3,1,,,1,,1,2,233,CS200033,2,2,화곡역,113,1,9,1,6,,,2,49,2020,7,10,6,4,,,,오용옥,2,2601,9996,,,,3,,,,,,,2000,2000,,,160,160,,,,,,,,,,,,7,7,,,,2,2,2,2,,,,,,,,,,,,100,0,0,0,,,,400,400,,,,,,1,4,8,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000433,999999,서형주,2022-09-08 오전 11:20:00,201,,정금순대국&호프,1003,2,,서울 도봉구 도봉로 110나길 25,,,1,1,,,1,,1,1,101,CS100001,1,2,쌍문역,217,2,,2,,1,,2,64,2007,7,11,22,,1,,,정수봉,,,,10,5798,6552,3,,,,,,,3000,3000,,,120,120,,,,,8,,,,,,,,,,,,1,1,1,1,,1500,,,,,,,,,,100,0,0,0,,,2,300,300,,,,,,8,9,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000228,999999,서형주,2022-09-08 오전 11:20:00,201,,소문난순대국,1324,2,,서울 강북구 월계로 7나길 30,,,1,1,,,1,,1,1,101,CS100001,1,2,미사역,,2,,2,,2,,2,69,2011,7,9,,4,2,,,김종기,2,987,4721,,,,3,,,,,,,3000,3000,,,200,200,,,,,,,,,,,,,,,,,1,1,1,1,,4000,,,,,,,,,,100,0,0,0,,,2,300,300,,,,,,8,9,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,
,000243,999999,서형주,2022-09-08 오전 11:20:00,201,,진아문구,1236,1,,서울 동작구 대방동길 6,,,3,1,,,1,,1,3,321,CS300021,3,2,신대방삼거리역,114,1,,2,,2,,1,59,2007,3,8,20,4,1,,,이영천,2,825,3943,,,,3,,,,,,,2000,2000,,,140,140,,,,,,,,,,,,6,6,,,,2,2,2,2,,,1000,,,,,,,,,100,0,0,0,,,2,200,200,,,,,0.2,8,1,4,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000266,999999,서형주,2022-09-08 오전 11:20:00,201,,우리마을셀프장어네,1108,1,,서울 강서구 곰달래로 254,,,2,1,,,1,,1,1,101,CS100001,1,2,목동역,901,1,4,,,,,1,56,2008,7,11,23,2,,2,,임동표,,,,10,8715,2284,2,181.1,,,,,,5000,5000,,,420,420,,,,,,,,,,,,75,75,,,,2,2,2,2,,,,,,,,,,,,100,0,0,0,,,,25000,25000,,,,56000,,1,7,10,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000270,999999,서형주,2022-09-08 오전 11:20:00,201,,저팔계복발,843,2,,서울 노원구 석계로 7길 5,,,3,1,,,1,1,1,1,101,CS100001,1,2,석계역,260,2,,2,,1,,1,60,2014,7,16,22,,,,1,,,,,10,6776,1615,3,,,,,,,3000,3000,3000,3000,120,120,120,120,,,,,,,,,,60,60,,,,1,2,2,1,,3000,5000,,,,1,,,,,0,100,0,0,,,2,1400,1400,1400,N,,,0.1,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,
,000295,999999,서형주,2022-09-08 오전 11:20:00,201,,리향,1147,1,,서울 강남구 선릉로 574,,자진빌딩,4,1,,,1,,1,1,102,CS100002,1,1,선정릉역,100,1,3,1,4,,,2,43,2004,7,9,21,8,,4,,손영수,,,,10,6255,4668,3,,,,,,,5500,5500,5500,5500,396,396,396,396,,,,,,,,,,25,25,25,,,1,1,1,1,,11000,2400,,,,1,,,,,100,0,0,0,,,1,3000,3000,3700,Y,코로나,1000,0.18,3,1,8,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000328,999999,서형주,2022-09-08 오전 11:20:00,201,,서현타일,1336,2,,서울 중구 을지로 101,,,5,1,,,1,,1,3,335,CS300035,3,2,을지로3가,55,1,,1,6,,,1,60,2001,7,8,18,4,,,,현기종,2,2268,9242,,,,3,,,,,,,6000,6000,6000,6000,760,760,760,760,,,4,2,1,,,,,50,50,,,,2,2,2,2,,,5000,,,,,,,,,100,0,0,0,,,1,2000,2000,2000,N,코로나,,0.1,2,8,1,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,
